productid	name	Manufacturer	retailprice	categories
12333	Klimunilin	Emtumax Direct Inc	372.53	Camera,GPS,Scanner
12334	Thruhupistor	Thrunipexentor  	1.13	Printer,Recording Equipment,TV
12335	Grojubanex	Truzapicar Direct Corp.	480.62	Washer
12336	Doprobin	Cipvenupicator  Corp.	246.07	Camera Lens,Phone,Video Game
12337	Tipwerpar	Retanower International Inc	199.59	Air Purifier
12338	Unjubentor	Zeewerpistor Holdings 	134.39	Air Conditioner
12339	Frotinaquicator	Endpebedentor Holdings 	168.95	Camera Lens,Microwave,Vacuum Cleaner
12340	Klifropan	Unvenistor WorldWide 	327.10	MP3 Player,TV,Washer
12341	Lomwerpistor	Ciptanex  	122.48	Phone,Recording Equipment
12342	Adpebower	Qwicadplentor Holdings 	390.47	GPS
12343	Emtanonower	Truwerentor WorldWide Corp.	129.19	Microwave
12344	Winjubadex	Tupquestentor  	294.60	Microwave
12345	Hapnipegor	Grovenimax Direct 	219.27	Camera Lens,DVD,Printer
12346	Cipdimistor	Unpebexower  	418.07	Phone
12347	Kliwerewax	Frojubupax  Corp.	34.10	Air Conditioner
12348	Incadantor	Winkilinan International 	170.99	MP3 Player,Phone,Tool
12349	Upfropex	Rerobazz  	110.06	Fax
12350	Thrujubefantor	Adcadackor Direct Company	85.39	Car Audio
12351	Inpickazz	Winpickopantor WorldWide 	141.26	Camera,TV
12352	Bartumopar	Hapkilantor  	171.11	Dryer
12353	Adzapistor	Parmunexower  	409.90	CD,Scanner
12354	Endhupor	Haptanackower International 	123.54	Vacuum Cleaner,Washer
12355	Zeebanover	Unjubar International Group	277.29	Projector
12356	Intumopex	Unnipicator  Corp.	159.68	Air Conditioner,CD,MP3 Player
12357	Zeetanackazz	Unsipexar WorldWide 	295.33	Fax
12358	Parpickazz	Ciperepazz Direct Inc	471.08	Computer,Projector
12359	Bartanantor	Zeewerar Holdings 	43.72	Fax
12360	Lomtinazz	Thruwerpicax International Group	168.48	MP3 Player
12361	Zeetanan	Adpickar International 	103.81	Air Purifier,Microwave,Refridgerator
12362	Varmunilan	Supdimommer Direct Corp.	295.97	GPS
12363	Grosipazz	Retanar  	31.60	Battery,MP3 Player,Video Game
12364	Supquestommover	Hapfropentor International Group	367.03	DVD,Satellite Radio,Tool
12365	Dopsapicator	Rewerpedan WorldWide Group	232.22	CD
12366	Upgliban	Lomtumower Holdings Corp.	323.37	Printer
12367	Adglibax	Monhupamar  Inc	275.28	Satellite Radio
12368	Hapdimadover	Thrusapentor WorldWide 	93.09	Refridgerator
12369	Hapveniman	Renipin  	24.06	Air Conditioner,Microwave,Video Camera
12370	Qwiglibantor	Surquestamor  Corp.	220.68	Dryer,Phone
12371	Unsipistor	Tuppickin  	154.98	Battery
12372	Thrufropin	Winwerpazz Direct 	35.67	Recording Equipment
12373	Grotumexower	Suprobefax WorldWide Company	174.80	Bluray
12374	Monnipan	Suppickor  	397.16	Vacuum Cleaner,Video Camera
12375	Inmunplentor	Varfropanax Holdings Corp.	174.30	Battery,Microwave
12376	Lomtanor	Emsapower WorldWide 	176.98	Air Purifier,Fax,Video Camera
12377	Grosipazz	Adsapantor Direct Corp.	494.15	Printer
12378	Resapadex	Surtanegower  	77.48	Dryer
12379	Inkilor	Tupkilor International Inc	467.79	Phone
12380	Emmunantor	Zeepickimar WorldWide Corp.	73.02	Bluray
12381	Hapfropantor	Uptanistor WorldWide Company	439.18	Computer,Phone,Vacuum Cleaner
12382	Cipquestazz	Monpebistor International 	354.30	CD
12383	Grotumantor	Supkilistor Direct Company	247.85	Dryer
12384	Cipdimedgicator	Grovenimax Direct 	18.11	Bluray,Satellite Radio
12385	Tuperistor	Endpebazz Holdings Group	209.06	CD,Microwave
12386	Tupkilaquar	Varsipazz Direct 	45.69	Video Camera
12387	Ciperor	Frofropentor Holdings 	273.46	Projector,Recording Equipment
12388	Adsapanor	Winvenonar International 	249.98	Video Game
12389	Kliwerpupor	Doptaninin Holdings Inc	223.84	Microwave,Projector,Refridgerator
12390	Inzapover	Qwidimower International 	321.94	Battery,DVD
12391	Unquestilor	Tupwerpin WorldWide 	450.74	MP3 Player,Satellite Radio,TV
12392	Upcadax	Surjubar  Company	228.51	Camera Lens,GPS
12393	Unfropover	Hapglibadantor  	91.67	Fax,GPS
12394	Frobanaman	Lomglibower Holdings 	1.48	Printer,Vacuum Cleaner
12395	Thrujubazz	Thrusipupistor Direct 	224.30	Fax
12396	Grokilopin	Enderor WorldWide 	326.51	Air Conditioner,Computer
12397	Lomquestopistor	Rapkilantor International Group	359.86	MP3 Player
12398	Inpickicator	Parveninor Direct Corp.	262.16	Refridgerator
12399	Reglibexicator	Cipwerponazz Holdings 	63.38	Printer
12400	Hapmunedgex	Qwiwerover WorldWide Company	395.90	Air Purifier,Computer,Vacuum Cleaner
12401	Suppickimover	Zeetanazz International 	143.79	Air Purifier,Recording Equipment,Video Game
12402	Untumicazz	Hapsipaquentor Direct 	441.01	Recording Equipment,Scanner,TV
12403	Trutinex	Qwicadistor Direct 	147.93	Refridgerator
12404	Thrupebar	Tipweran Holdings 	389.38	Computer
12405	Partanackin	Upfropadar WorldWide Company	430.41	Air Conditioner,Dryer,Speaker
12406	Zeecadamar	Inwerpanistor Holdings 	106.60	TV
12407	Endglibor	Dopsipentor Direct Corp.	496.31	Projector
12408	Sursapinor	Reglibedgower  	13.73	CD
12409	Hapglibantor	Hapwerommin  Group	449.24	Air Purifier,Car Audio,Fax
12410	Zeepebower	Qwidimilicator  	101.31	DVD,Washer
12411	Barglibover	Varerefin WorldWide 	165.53	Air Purifier,Vacuum Cleaner
12412	Klipebackower	Hapvenantor International Company	218.84	MP3 Player,Refridgerator,Scanner
12413	Winmunistor	Barvenantor  	4.29	Air Purifier
12414	Adtanentor	Haphupistor Holdings 	470.70	Bluray,Phone
12415	Vartinilicator	Endbanimex International Corp.	229.30	GPS,Scanner
12416	Dopmunex	Hapweristor Holdings 	249.51	Battery,Computer,GPS
12417	Kliwerimistor	Cippickower Holdings 	49.12	Printer,TV
12418	Tipcadewover	Hapfropentor International Group	14.49	Fax,TV
12419	Surnipin	Hapmunentor Holdings 	158.98	Computer,Printer
12420	Ciptumin	Partanommentor  	187.53	Bluray
12421	Monmunex	Monquestewazz  	50.90	TV
12422	Lomkilicin	Retinomman International Corp.	26.30	Dryer,Microwave,Recording Equipment
12423	Dopvenplar	Recadamentor WorldWide 	369.25	Air Purifier,Phone
12424	Tipcadamicator	Varbanaquower Direct Corp.	202.11	Car Audio
12425	Tupnipin	Surdudimor  	269.93	Car Audio,Recording Equipment,Speaker
12426	Emfropover	Zeepickamower WorldWide Company	426.47	Car Audio,Fax,Speaker
12427	Thrucadinar	Unzapicicator Holdings 	444.00	Fax,Recording Equipment,Refridgerator
12428	Barquestentor	Pardudewistor International 	174.32	TV,Washer
12429	Tupdudommicator	Lomwerpower  	173.87	Camera Lens,Microwave
12430	Frocadax	Rapjubepower WorldWide 	347.80	Air Conditioner,Air Purifier,Printer
12431	Raptumantor	Dopglibefazz  Company	317.12	Battery,Bluray
12432	Tiptanin	Truhupor Direct 	232.99	Camera Lens,Car Audio,Video Game
12433	Reglibantor	Emrobackicator  	15.10	Tool
12434	Barfropantor	Qwihupor Direct Group	72.88	Printer
12435	Varbanor	Uprobar  	429.23	Computer
12436	Qwiwerpamar	Upquestanan  Company	498.17	Battery,Camera,Tool
12437	Cipwerpax	Klizapupover WorldWide Company	207.36	Bluray,CD,Computer
12438	Surbanazz	Endpickaquower International 	358.47	Camera,Phone,Video Camera
12439	Trupickadistor	Tupdudar Direct 	87.71	Microwave,Phone,Speaker
12440	Ciphupedar	Truzapar Holdings Corp.	103.46	Tool
12441	Dopwerentor	Thruquestegazz  Company	49.37	Computer,Microwave,Scanner
12442	Uptaninex	Endmunewicator  Group	260.73	Phone,Projector,Vacuum Cleaner
12443	Emrobin	Dopveninentor Holdings 	300.74	CD
12444	Frofropefover	Klizapupover WorldWide Company	123.52	Air Conditioner,CD
12445	Winpebadan	Tipsapopex WorldWide 	157.42	Air Conditioner,Car Audio,Tool
12446	Supdudistor	Tippebantor Direct Company	232.90	Car Audio,Refridgerator,TV
12447	Fromunex	Lomtumador WorldWide Inc	225.22	Camera Lens
12448	Vardimor	Recadin  Group	120.97	Fax,Printer,Scanner
12449	Frohupicator	Tupnipower WorldWide 	272.17	MP3 Player
12450	Barcadantor	Lomdiman WorldWide Corp.	474.79	TV
12451	Inkilower	Winkilinan International 	278.39	Battery,Camera Lens
12452	Surbanollistor	Surdimazz Holdings 	346.37	Air Purifier,CD,Speaker
12453	Dopzapicator	Varkilepover Direct 	104.18	Scanner
12454	Monerupax	Parquestan WorldWide 	375.85	Battery,Dryer,MP3 Player
12455	Tuptanazz	Grotinackover WorldWide 	346.00	Projector,Recording Equipment,Speaker
12456	Supnipax	Tupvenan International 	118.49	Recording Equipment
12457	Tuperin	Hapvenicator Direct 	72.76	Phone,Refridgerator
12458	Supmunentor	Hapsipaquentor Direct 	445.82	GPS,Phone,Tool
12459	Thrujubover	Tupnipopar  	120.45	Air Conditioner,Fax
12460	Tipkilplower	Barpickepex International Inc	4.93	Projector
12461	Monericator	Qwivenepax Holdings 	162.60	GPS,Microwave
12462	Undudewazz	Dopnipaquistor  	322.99	Car Audio,GPS,Microwave
12463	Ciptumupantor	Zeejubex WorldWide 	339.86	CD,Projector
12464	Parweradover	Partinax Direct Company	102.44	Printer
12465	Winsipentor	Tupwerower  Company	284.20	Camera,CD,Scanner
12466	Thrunipewower	Rapvenefentor  Corp.	432.54	Air Purifier,GPS,Recording Equipment
12467	Empebamantor	Thrududover Direct Company	204.74	Camera Lens,Computer,Speaker
12468	Pardudimar	Unwerpedgower  Inc	431.41	Air Purifier,Car Audio,CD
12469	Windudower	Tupwerpin WorldWide 	42.47	Car Audio,Fax
12470	Surdimentor	Supquestollazz Holdings Corp.	231.13	Camera,MP3 Player,TV
12471	Winsipower	Uprobax International Group	43.15	Microwave,Speaker,TV
12472	Endericator	Barjubentor  Corp.	190.65	Camera Lens,Phone
12473	Inbanantor	Winpebewan WorldWide Group	426.78	Bluray,MP3 Player
12474	Qwimunonistor	Adwerponantor  Inc	56.52	Washer
12475	Grovenonor	Tupericator International 	139.16	Camera
12476	Montinar	Unrobexower  Corp.	290.17	Computer,Phone
12477	Cipsipommower	Surcadinin International 	225.56	Washer
12478	Groglibistor	Truglibazz Direct 	246.73	Computer
12479	Thrujubupax	Inglibentor WorldWide 	45.69	TV
12480	Surrobor	Qwidudentor International 	38.03	Camera Lens,Satellite Radio,Washer
12481	Supmunistor	Endbanepistor  	202.26	Camera Lens,MP3 Player
12482	Upfropackax	Endtinan  	324.03	Fax,Projector,Vacuum Cleaner
12483	Grofropor	Tuperepan WorldWide 	402.15	Microwave
12484	Surdudanower	Varpickex  	199.08	Microwave
12485	Supkilinex	Parpickin International 	70.41	Car Audio,Speaker
12486	Surwerpilazz	Zeefropicator Direct 	470.75	Camera,Fax,Printer
12487	Cipsapin	Inweradazz International Company	129.81	Camera,Satellite Radio
12488	Barpebonentor	Barquestollicator  	139.25	MP3 Player
12489	Tiptumepentor	Monsipan Holdings Inc	226.88	Camera,Fax
12490	Intumantor	Barcadicantor  Group	311.75	Video Game
12491	Adquestilan	Winmunilan  	426.41	Battery,Video Game
12492	Unwerexentor	Parquestin International 	261.54	Recording Equipment,Refridgerator,Washer
12493	Zeewerover	Raprobaquicator  Company	239.02	Speaker,Vacuum Cleaner
12494	Inmunefin	Thrutinanicator Holdings 	83.77	Projector,Refridgerator
12495	Hapquestantor	Thruvenimentor WorldWide 	440.86	Air Conditioner,Bluray,Recording Equipment
12496	Surpickicentor	Surkilimentor  Company	226.39	Bluray
12497	Zeepickantor	Truglibazz Direct 	420.87	CD
12498	Parglibedantor	Tuptumex  	199.30	Air Conditioner
12499	Barhupower	Inkilex  	339.33	Camera,DVD,GPS
12500	Surpickan	Thruvenor  	224.88	Air Conditioner
12501	Superexazz	Frojubimicator WorldWide 	29.16	GPS,Microwave,Projector
12502	Lomquestupor	Qwiweran  	293.80	Fax
12503	Growerpistor	Cipvenar Holdings Group	79.50	Bluray,MP3 Player
12504	Intanefex	Inmunplantor  	42.04	CD,Microwave
12505	Qwikilan	Embanicower Holdings 	432.64	Dryer,Tool
12506	Tiptanover	Cipdudefower WorldWide 	88.74	Phone,Speaker
12507	Doptinover	Endwerpentor International 	419.59	Projector
12508	Pardimewazz	Rehupegazz  	48.67	Bluray,Projector,Speaker
12509	Adrobilan	Lomdimewax Direct 	237.70	Bluray,Car Audio,Projector
12510	Kliweraquistor	Hapjubex  Inc	56.83	Bluray
12511	Adtaninistor	Cipfropax  	392.93	Bluray,TV
12512	Bardimicator	Monpebefazz WorldWide 	326.03	CD,TV
12513	Varvenupar	Gromunazz International 	401.13	Dryer,GPS,Scanner
12514	Tipglibaquax	Kliwerpedax Holdings Group	83.42	Fax,MP3 Player
12515	Emtumefax	Barmunar WorldWide 	302.68	CD,Computer,Projector
12516	Sursipepax	Tiptinar  Inc	338.57	MP3 Player,Printer,Projector
12517	Upwerupax	Monquestazz  	420.84	Air Purifier,Dryer,Projector
12518	Surcadefor	Qwikilexin WorldWide 	141.78	MP3 Player,Video Game
12519	Monwerponazz	Rapvenefentor  Corp.	33.03	Car Audio,Phone
12520	Partinewar	Cipjubaquistor  	313.45	MP3 Player
12521	Pareranar	Tiperefex  	303.73	DVD,Vacuum Cleaner,Video Camera
12522	Suptumewex	Tipfropefax  	66.50	GPS,Scanner
12523	Tuptinantor	Qwijubackicator WorldWide Company	205.53	GPS,MP3 Player
12524	Trubanicator	Klimunegex Holdings Inc	230.72	Tool
12525	Zeemunicator	Ciptumeficator  Corp.	304.73	Microwave
12526	Supnipex	Emmunantor  	281.61	Battery,Scanner,Vacuum Cleaner
12527	Lomvenor	Inkilazz  Corp.	451.63	Satellite Radio,Vacuum Cleaner
12528	Winhupar	Varpebentor WorldWide 	344.01	Air Purifier
12529	Thrusapax	Klikilar Holdings 	115.66	Fax,Refridgerator
12530	Zeepickazz	Parnipaquistor WorldWide 	412.77	Video Camera
12531	Emerommar	Raptumedower  Inc	369.31	Car Audio,Video Camera
12532	Qwifropex	Winpickentor WorldWide Group	27.26	Air Conditioner,Printer
12533	Surnipeficator	Mondudower WorldWide 	407.40	Air Purifier
12534	Klivenollor	Dopwerpin  	320.81	Video Camera
12535	Winmunistor	Surquestackex  	9.88	Satellite Radio
12536	Klidimex	Tippickopin Direct 	408.45	Tool
12537	Hapnipicex	Unbanollentor WorldWide Group	245.53	Dryer
12538	Haptinistor	Barpickommantor Direct 	361.11	Computer,Recording Equipment
12539	Invenexantor	Klikilollex Holdings 	266.44	Bluray,Microwave,Vacuum Cleaner
12540	Tiptanewar	Sursipackar WorldWide Company	481.68	Dryer,Fax,Phone
12541	Rapdudopicator	Unpebewin Direct Corp.	52.16	Refridgerator
12542	Inmunegin	Vartaninazz Direct Corp.	82.14	Bluray,Computer,Tool
12543	Suptinentor	Bartinex Direct 	401.55	DVD,Speaker
12544	Intanplantor	Varerantor Direct 	171.05	Air Conditioner,Fax
12545	Rewerex	Zeebanar  	418.81	Computer,GPS
12546	Zeesapefar	Haphupazz Direct 	101.37	Dryer,DVD,TV
12547	Dopsapax	Cipbanower Direct Company	360.41	Washer
12548	Supweran	Barpickinicator  	156.61	Bluray,GPS,Projector
12549	Doptanewicator	Winquestonin Direct Group	281.09	Air Purifier,GPS,Video Game
12550	Hapglibover	Tupfropilower WorldWide 	103.29	Battery,Video Camera
12551	Froerin	Qwijubackicator WorldWide Company	305.55	CD
12552	Upglibentor	Cippebollower WorldWide 	280.08	Phone,Printer
12553	Unhupin	Klitumopicator  	167.27	CD,Printer
12554	Thrubanantor	Unvenefor  Group	26.88	Air Purifier,Bluray,Recording Equipment
12555	Insipin	Winglibplazz International Corp.	421.15	Bluray,Printer
12556	Frodudantor	Grodimefantor  	462.66	Scanner,Speaker
12557	Unnipentor	Haprobex  Group	89.28	Camera Lens,TV,Video Game
12558	Tipzapedex	Thruvenan International 	348.78	Fax,Speaker
12559	Thruglibewistor	Fropebepantor  Inc	237.31	Microwave
12560	Frokiledgower	Trujubupantor Holdings 	152.03	Fax,Video Camera
12561	Qwiwerpor	Retanower International Inc	137.11	Washer
12562	Supsapewover	Winsipexar WorldWide 	76.57	Air Conditioner
12563	Emeramex	Unquestistor WorldWide 	433.01	Refridgerator,Scanner
12564	Reweregor	Suptanantor  Group	324.93	Camera,Tool
12565	Tupvenistor	Emvenazz Holdings 	187.52	Camera,Car Audio,Scanner
12566	Cipzapentor	Rapsipefar Direct Company	366.68	Fax
12567	Unsipefentor	Lomwerpan Holdings 	418.64	Recording Equipment,Refridgerator,Tool
12568	Surfropopar	Tupericator International 	81.32	Projector,Tool
12569	Dopbanentor	Barpebefentor Holdings Group	74.54	Microwave,Recording Equipment
12570	Trusapadover	Tipfropefax  	394.22	Camera Lens,Fax
12571	Wintanentor	Varvenower Direct 	94.04	Air Purifier,DVD,TV
12572	Zeetumanicator	Thrutinamicator  Group	60.73	Battery
12573	Tipmuninazz	Bartaneficator WorldWide 	375.34	Printer,Speaker,Washer
12574	Trujubefower	Tupdudower  	51.35	Air Conditioner,Camera Lens,Recording Equipment
12575	Qwisapackax	Qwirobicator Holdings 	262.29	Dryer,Projector
12576	Supdimar	Adwerower International Inc	222.59	Camera
12577	Insipedicator	Sursipedower  Inc	164.95	Battery,Computer,Speaker
12578	Bartumazz	Doptanin Direct Group	35.48	DVD
12579	Truhupistor	Lomsapan  Group	311.91	Battery,Dryer,Video Camera
12580	Unfropamover	Thrutanazz  Company	204.35	Tool
12581	Thrucadax	Dopjubimex International 	421.19	Fax,Satellite Radio,Vacuum Cleaner
12582	Reerefor	Thrududover Direct Company	296.02	Microwave,Tool,Vacuum Cleaner
12583	Unnipower	Dopsipedgax  	63.92	Microwave
12584	Unjubantor	Monpebinin WorldWide 	13.37	Car Audio,Recording Equipment
12585	Doppickan	Tippebantor WorldWide 	108.22	Battery,Camera,Computer
12586	Windimamicator	Frorobex Holdings Group	90.22	Computer,Refridgerator,Satellite Radio
12587	Thruerommower	Trurobax Direct Company	359.99	Recording Equipment,Refridgerator,TV
12588	Upzapazz	Unmunimax  Group	381.52	Air Purifier,Car Audio,Video Camera
12589	Grojubin	Grojubax  Inc	399.66	Computer,Printer,Video Camera
12590	Adglibimazz	Endsipazz  Corp.	47.22	Projector,Tool
12591	Emmunefan	Parjuban Holdings 	320.18	Printer
12592	Raperower	Tipsapazz  	396.75	Camera Lens,Projector,Vacuum Cleaner
12593	Endpebexentor	Monnipistor  	124.80	Car Audio,Projector
12594	Varbanicator	Intanepin International 	115.41	Battery,Video Camera
12595	Klihupentor	Hapdudower Holdings Company	345.57	Refridgerator,TV,Vacuum Cleaner
12596	Monzapower	Dopkilaquazz  Group	475.58	Video Camera
12597	Klitanistor	Resapollower Holdings 	149.14	Phone
12598	Supwerpar	Rapnipegex International 	77.62	Vacuum Cleaner
12599	Varwerantor	Monjubistor International Company	483.53	Car Audio,Satellite Radio
12600	Tupnipazz	Endcadan  	53.14	Satellite Radio
12601	Adrobommistor	Qwicadistor Direct 	182.74	Projector
12602	Tipbanicator	Renipicator WorldWide 	280.10	DVD,GPS
12603	Barvenazz	Varfropan Holdings 	83.07	Video Game
12604	Tuptumedgistor	Surerepin Direct Corp.	386.87	Car Audio
12605	Trumunonantor	Truwerupex International Corp.	10.25	Tool
12606	Lomkilantor	Tipweran Holdings 	245.82	CD
12607	Zeeglibadicator	Monsapan International Corp.	404.74	Camera Lens,DVD,Scanner
12608	Rapbanazz	Suptumepor Holdings 	116.91	Microwave,Scanner,Washer
12609	Moncadollin	Barpebistor WorldWide 	264.59	Camera Lens
12610	Varmunicicator	Parquestor  Corp.	199.57	Satellite Radio
12611	Indudepicator	Thrutinegin Direct 	298.71	MP3 Player,Refridgerator
12612	Endjubefantor	Endpickower  Group	54.80	Fax,Projector,Tool
12613	Winvenopor	Haphupin Holdings Corp.	37.87	Refridgerator,Satellite Radio
12614	Remunazz	Hapzapedan Holdings Corp.	33.96	Dryer,Printer,TV
12615	Tupdimax	Frodimex Holdings 	230.84	Fax,Phone,Recording Equipment
12616	Upsipor	Winsapicator International 	341.09	CD
12617	Emsipexar	Upjubistor  Group	13.65	Microwave,Phone,Printer
12618	Hapjubentor	Tupkilexower Direct 	420.63	TV
12619	Varvenanin	Parsapax WorldWide 	217.71	Dryer,Phone,Vacuum Cleaner
12620	Gromunicator	Vartumackicator  Company	98.30	Satellite Radio
12621	Tipsapantor	Varerefin WorldWide 	7.69	Speaker,TV
12622	Surpebistor	Dopnipedower International 	38.12	Vacuum Cleaner
12623	Cipwerommar	Upwerefower International 	181.66	GPS,Video Game,Washer
12624	Surkilplistor	Zeebanaquar  	28.32	Computer,Microwave,TV
12625	Bartanan	Monrobinistor  	75.04	Printer
12626	Addimor	Klikilollex Holdings 	197.30	Camera Lens
12627	Monnipicantor	Adcadackor Direct Company	435.93	Bluray,Camera Lens,Dryer
12628	Lommunazz	Tupnipower WorldWide 	260.92	Washer
12629	Zeemunazz	Retumopicator International 	205.79	MP3 Player
12630	Varglibar	Tiperefex  	286.71	Video Camera
12631	Grojubin	Dopjubupicator  	74.45	Air Purifier,CD,Speaker
12632	Truwerin	Endpebazz Direct Group	88.33	Air Purifier,Bluray,Computer
12633	Varerackan	Bartinistor WorldWide 	51.95	Battery,Video Camera
12634	Monpickefower	Varwerin International Corp.	259.77	Air Purifier,Video Game
12635	Inkilupin	Winmunepar  	22.62	DVD
12636	Emkilex	Unhupicazz International Inc	142.10	Air Conditioner
12637	Tupfropax	Barpebistor WorldWide 	213.95	CD,Refridgerator
12638	Hapbanefover	Unzapistor International Company	177.05	Printer,Projector,Recording Equipment
12639	Upmunaquex	Dopkilamantor  Corp.	4.13	Recording Equipment
12640	Doptinamentor	Hapwerommin  Group	362.40	CD,Microwave,TV
12641	Monkilin	Unrobexower  Corp.	185.48	Dryer,Video Game,Washer
12642	Endbanamazz	Untumicator WorldWide Corp.	244.07	Air Conditioner
12643	Barsapaman	Klisipor  	117.93	Microwave,Recording Equipment
12644	Hapvenan	Cipweraquentor  	201.09	Computer,TV
12645	Uprobupazz	Endglibedin International 	248.51	Speaker
12646	Tiperedantor	Raphupentor Direct 	266.38	Battery,Fax
12647	Zeeweramicator	Supquestar Holdings Corp.	359.87	Satellite Radio
12648	Tupfropexistor	Reerommin Holdings 	91.84	Bluray,Microwave
12649	Barglibopar	Uptanover Holdings Company	384.58	Bluray,Car Audio,Video Camera
12650	Emdudor	Surdimazz Holdings 	5.47	Computer,Vacuum Cleaner
12651	Trududin	Frobanan Holdings Group	462.93	MP3 Player,TV
12652	Gronipan	Kliwerpor International Company	228.50	Scanner
12653	Fromunegor	Tupdudower  	359.91	Phone
12654	Monkilimover	Haphupentor  Company	386.23	Computer,DVD
12655	Endhupor	Endwerpentor International 	46.45	Air Purifier,Battery,GPS
12656	Growerimentor	Supfropicicator Direct Corp.	145.62	Car Audio,Phone,Projector
12657	Thrupickentor	Surwerpicator  	99.44	CD,Computer
12658	Rapsapackentor	Cipwerpeficator  	55.74	Fax
12659	Frodimower	Intinicower  	312.83	Dryer,GPS,Projector
12660	Endnipentor	Monpickar International Corp.	312.95	DVD
12661	Unzapopicator	Hapvenicator Direct 	309.90	Battery,Phone
12662	Enddudover	Parnipimax WorldWide 	144.82	Satellite Radio,Scanner
12663	Barquestedgantor	Hapweran International 	411.13	TV,Vacuum Cleaner
12664	Surjubentor	Thrurobicar WorldWide 	477.88	Microwave,Projector,Scanner
12665	Tupmunex	Montanilax International Corp.	126.12	Microwave,Video Camera
12666	Upbanewazz	Surwerantor International Company	211.38	Battery,Dryer
12667	Zeetumexicator	Barpickover International 	3.85	Bluray
12668	Doptumicicator	Monpebover WorldWide 	278.11	Microwave
12669	Vardudanicator	Truzapar Holdings Corp.	12.34	Tool,Vacuum Cleaner
12670	Upmunax	Barpickamentor  	89.74	Fax,Refridgerator
12671	Uptanedgazz	Parfropicator International 	128.14	CD,Washer
12672	Tipsapomman	Klinipar International Company	336.61	CD,Dryer,Satellite Radio
12673	Parbanupex	Lomdudex WorldWide 	417.51	Air Purifier,Phone,Recording Equipment
12674	Trutanackentor	Endrobover  Corp.	355.31	Battery
12675	Suptumantor	Klipickan WorldWide Company	412.82	Printer
12676	Cipzapefistor	Dopjubupicator  	263.62	Video Camera
12677	Tipquestefazz	Klieregower WorldWide 	420.18	Air Purifier,DVD,Refridgerator
12678	Zeeerar	Parnipan Holdings 	480.57	Air Conditioner,Speaker
12679	Haperexicator	Cippebentor WorldWide 	279.82	DVD,Tool
12680	Supzapefower	Zeesipommer Direct 	308.66	Dryer,Refridgerator,TV
12681	Tiptanegor	Qwivenover Holdings Corp.	337.42	Bluray,Camera Lens,Projector
12682	Zeerobupantor	Inmunplantor  	345.08	CD,Computer
12683	Embanicower	Surkilimentor  Company	376.35	Air Purifier,Washer
12684	Retinistor	Thruquestegazz  Company	201.32	Computer,Video Game
12685	Grofropegentor	Barerepin  Company	323.78	Air Conditioner,Air Purifier,Computer
12686	Undudollover	Raptinefazz  	345.95	Camera Lens,Dryer
12687	Uptanedentor	Monhupefantor WorldWide 	228.42	Recording Equipment,Video Camera
12688	Untinilan	Varcadewicator  	165.72	Recording Equipment
12689	Klikilicator	Raphupentor Direct 	214.32	Air Conditioner,Camera
12690	Vartinanan	Vartanover  	377.00	Dryer,Tool
12691	Adzapan	Unnipicator  Corp.	43.66	Camera,Projector
12692	Hapcadentor	Unzapistor International Company	159.21	Air Conditioner
12693	Intanicator	Varnipantor Holdings 	364.22	Camera,Dryer,Phone
12694	Tuptumamazz	Grovenexar Holdings Corp.	191.18	Scanner
12695	Trupickar	Rappebedgower WorldWide 	53.50	Camera
12696	Parquestar	Supnipegistor Direct 	41.66	Speaker
12697	Recadadantor	Rebanupex Holdings Group	332.95	Phone,TV
12698	Tipmunewin	Dopcadegax Holdings 	140.06	CD,Phone
12699	Tupwerpollex	Cipvenar Holdings Group	75.97	MP3 Player,Recording Equipment,Satellite Radio
12700	Uphupin	Parnipimax WorldWide 	38.12	Printer,Recording Equipment,Washer
12701	Endkilentor	Rehupadar Direct 	263.53	CD
12702	Qwisipantor	Adwerpaquover Holdings 	82.76	Bluray
12703	Updimplex	Dopnipaquistor  	80.50	Bluray,Scanner,Speaker
12704	Thruerplan	Thrurobicar WorldWide 	295.84	Video Game
12705	Doppickax	Tuppebax International 	377.33	Battery,Satellite Radio,Scanner
12706	Tupzapedan	Varzapicator Direct Corp.	127.32	Microwave,MP3 Player
12707	Qwikilanower	Winrobupex WorldWide 	310.99	Car Audio,DVD
12708	Hapvenewax	Klipickan WorldWide Company	5.60	Microwave
12709	Hapsipin	Partanommower  	473.40	Tool,Washer
12710	Parpickopin	Growerex Holdings 	282.83	Car Audio,Tool
12711	Emtinackex	Rapvenex Direct Corp.	225.44	Air Purifier,Vacuum Cleaner,Washer
12712	Klizapopicator	Grohupefantor International Company	118.87	CD,Vacuum Cleaner
12713	Montaninan	Haperax Direct 	275.93	Air Purifier,Phone,TV
12714	Dophupax	Tipsapopex WorldWide 	5.16	Camera
12715	Barpebin	Lomdimefentor Direct 	475.53	CD
12716	Doperantor	Rapfropistor Direct 	464.81	Air Conditioner,Bluray,Washer
12717	Tuptumin	Ciptumedgicator  Inc	268.47	Bluray
12718	Supglibimentor	Rebanackower Direct 	210.81	Car Audio
12719	Frocadan	Adquestower Direct Company	155.09	Dryer
12720	Varmunepax	Grofropistor Direct Company	280.17	Microwave
12721	Lomcadar	Frowerupar  	482.96	Computer,Fax,Phone
12722	Frotumower	Tupcadover WorldWide Corp.	338.13	Washer
